epoch,learning_rate,current_lr,weight_decay,batch_size,hidden_dim,dropout,train_loss,train_real_ai_acc,train_real_ai_f1,val_loss,val_real_ai_acc,val_real_ai_f1
1,3e-05,3e-05,0.001,32,256,0.3,0.17140946646402505,0.9321900959035972,0.9319839794020884,0.09246602811065374,0.9670588235294117,0.9670975323149236
2,3e-05,2.9817171857837798e-05,0.001,32,256,0.3,0.04424176073479967,0.9845983814039716,0.9845857418111753,0.08134668377100253,0.9741176470588235,0.9741480611045829
3,3e-05,2.9273189266983036e-05,0.001,32,256,0.3,0.028994925469933222,0.9900887732182966,0.9900898331669756,0.07537342500982477,0.9756862745098039,0.9756001574183393
4,3e-05,2.8381446884197268e-05,0.001,32,256,0.3,0.017574906966500013,0.9937252664979144,0.9937281733304825,0.11380367365610951,0.9676470588235294,0.9670592932721102
5,3e-05,2.7163902366467976e-05,0.001,32,256,0.3,0.01406184794259894,0.9954365574530286,0.9954360693146973,0.09566028596139421,0.9705882352941176,0.9704258675078864
6,3e-05,2.5650535700620236e-05,0.001,32,256,0.3,0.011102261906464204,0.9964348105101786,0.9964351917866818,0.0897205250667335,0.9762745098039216,0.9762605454188739
7,3e-05,2.3878610996543234e-05,0.001,32,256,0.3,0.012449279331612018,0.9962208991407894,0.9962213032938828,0.08347588128017663,0.9786274509803922,0.9787813899162936
8,3e-05,2.1891758921132275e-05,0.001,32,256,0.3,0.00926663156055117,0.99700524082855,0.9970057745776003,0.08644893915657247,0.976078431372549,0.9761811792268645
9,3e-05,1.9738902366467975e-05,0.001,32,256,0.3,0.004439517618138126,0.9988947912581554,0.9988948700581084,0.08539662911812318,0.976078431372549,0.9759368836291913
10,3e-05,1.7473051805847434e-05,0.001,32,256,0.3,0.0037088207673465962,0.9986095760989696,0.9986095760989696,0.0861133434073132,0.9809803921568627,0.9808716229540525
11,3e-05,1.5150000000000002e-05,0.001,32,256,0.3,0.0037870191840078684,0.9990730507326464,0.9990732820074137,0.08624746503481898,0.981764705882353,0.9816676522767593
12,3e-05,1.2826948194152578e-05,0.001,32,256,0.3,0.0014052387427066165,0.9995721772612214,0.9995721620079863,0.08335413217380776,0.9813725490196078,0.9812290061252716
13,3e-05,1.0561097633532033e-05,0.001,32,256,0.3,0.0018912636456377035,0.9992869621020357,0.9992869875222816,0.08261432410212115,0.9833333333333333,0.983297307919041
14,3e-05,8.408241078867731e-06,0.001,32,256,0.3,0.001778006230643389,0.9994652215765268,0.9994652215765268,0.09096206945918704,0.981764705882353,0.9815878043951692
15,3e-05,6.421389003456775e-06,0.001,32,256,0.3,7.317372594857004e-05,1.0,1.0,0.08554998999123271,0.984313725490196,0.9842333464722113
16,3e-05,4.64946429937977e-06,0.001,32,256,0.3,2.5492018672193406e-05,1.0,1.0,0.08827090502730939,0.9847058823529412,0.9846214511041009
17,3e-05,3.136097633532032e-06,0.001,32,256,0.3,1.9923057512920843e-05,1.0,1.0,0.09024636050615192,0.984313725490196,0.9842209072978304
18,3e-05,1.9185531158027382e-06,0.001,32,256,0.3,1.6846492383077566e-05,1.0,1.0,0.0916810991355669,0.984313725490196,0.9842209072978304
19,3e-05,1.02681073301697e-06,0.001,32,256,0.3,1.45022785112501e-05,1.0,1.0,0.09271619927731081,0.984313725490196,0.9842209072978304
20,3e-05,4.828281421622058e-07,0.001,32,256,0.3,1.2746952123382348e-05,1.0,1.0,0.09339005283273567,0.984313725490196,0.9842209072978304
